u,l,kappa,delta,seed,forest_seed,trees,n,normal_gaps_json,paper_boundary,exact_threshold,empirical_threshold,empirical_to_boundary,empirical_to_exact,assumption_4_2
2.0,0.5,4.0,1.5,1,53001,1600,12,"[1.6665975774631847, 1.3541023052136567, 1.338727062502961, 0.5, 0.669433363522567, 0.8772626405466394, 1.6776016923948234, 0.6512207744008881, 2.0, 1.7101706295398769]",8.0,1.7798691731832632,1.73828125,0.21728515625,0.9766342808730801,True
2.0,0.5,4.0,1.5,2,53002,1600,12,"[1.3467140423858948, 0.8637502872419633, 2.0, 1.4465306803986289, 0.8948130705723919, 0.5, 1.8610510769787993, 0.7966118588531852, 1.2972347973017957, 0.7734642044554042]",8.0,0.7406392542374445,0.60546875,0.07568359375,0.8174948148317971,True
2.0,0.5,4.0,1.5,3,53003,1600,12,"[0.5, 1.5325603350498767, 2.0, 1.443040563410046, 0.6311269520495446, 0.817604404614037, 0.8258357187697339, 0.5303635335082201, 1.3848584684041587, 1.0918035811317146]",8.0,1.0868541383995678,1.23046875,0.15380859375,1.1321378890932963,True
2.0,0.25,8.0,1.75,0,53000,1600,12,"[1.2967561167404407, 2.0, 0.36807295366474896, 1.3842467570205093, 0.48718617369409933, 0.9095111143797282, 0.8493815371633353, 0.25, 0.4980639185531619, 0.26767510661383176]",16.0,0.20923944595254376,0.234375,0.0146484375,1.120128181056057,True
2.0,0.25,8.0,1.75,1,53001,1600,12,"[1.5213569453178208, 1.1141975991426862, 1.095274726293637, 0.25, 0.38729869341276585, 0.5810044439966165, 1.5364494826584265, 0.3716014258841068, 2.0, 1.5814088596682874]",16.0,1.701515135413188,1.640625,0.1025390625,0.9642141676286636,True
2.0,0.25,8.0,1.75,2,53002,1600,12,"[1.1050911096399099, 0.5676325734519236, 2.0, 1.2302021342514127, 0.5985266340690818, 0.25, 1.7952396892177467, 0.5027535583688004, 1.0447512196512767, 0.4810002825797739]",16.0,0.4440662411156214,0.3515625,0.02197265625,0.791689318955601,True
2.0,0.25,8.0,1.75,3,53003,1600,12,"[0.25, 1.341563932624351, 2.0, 1.2257525654639636, 0.35453579761160087, 0.5227569745481406, 0.5306711728795181, 0.27311495735718394, 1.1523730385362356, 0.8066808994558095]",16.0,0.7580624685233247,0.859375,0.0537109375,1.1336466791107969,True
2.0,0.125,16.0,1.875,0,53000,1600,12,"[1.122365757925715, 2.0, 0.20936393701651226, 1.2244508426188145, 0.30426355893544327, 0.6994135077308461, 0.6384502924329755, 0.125, 0.31335510635487485, 0.1369201334894082]",32.0,0.23915869451229269,0.234375,0.00732421875,0.9799978231105171,True
2.0,0.125,16.0,1.875,1,53001,1600,12,"[1.3887737426030782, 0.9167965264924696, 0.8960950739389033, 0.125, 0.22407051409856865, 0.38479487024943115, 1.4071737191629878, 0.2120442485056462, 2.0, 1.4623417910704093]",32.0,1.6256485419306903,1.640625,0.05126953125,1.0092126051129864,True
2.0,0.125,16.0,1.875,2,53002,1600,12,"[0.9068193559796788, 0.37303227935528704, 2.0, 1.0462255046672602, 0.4003452156335962, 0.125, 1.7317555555619746, 0.31729522683276357, 0.8414090596653154, 0.29912343778691564]",32.0,0.2600955429515755,0.234375,0.00732421875,0.9011111737644649,True
2.0,0.125,16.0,1.875,3,53003,1600,12,"[0.125, 1.174370590284095, 2.0, 1.0411830338233918, 0.1991606148016741, 0.33423848122213695, 0.3410023171979616, 0.14064273883766243, 0.9589164887553562, 0.5960175298860183]",32.0,0.5112203700602098,0.546875,0.01708984375,1.0697441495447275,True
