u,l,kappa,delta,seed,k,n,normal_gaps_json,paper_boundary,direct_threshold,detected_at_90pct_boundary,assumption_4_2
1.0,0.0625,16.0,0.9375,0,1,12,"[0.5611828789628575, 1.0, 0.10468196850825613, 0.6122254213094073, 0.15213177946772163, 0.34970675386542305, 0.31922514621648773, 0.0625, 0.15667755317743742, 0.0684600667447041]",1.0,0.5611828789628576,True,True
1.0,0.0625,16.0,0.9375,0,3,12,"[0.5611828789628575, 1.0, 0.10468196850825613, 0.6122254213094073, 0.15213177946772163, 0.34970675386542305, 0.31922514621648773, 0.0625, 0.15667755317743742, 0.0684600667447041]",1.9375,2.7755575790112324e-16,True,True
1.0,0.0625,16.0,0.9375,0,5,12,"[0.5611828789628575, 1.0, 0.10468196850825613, 0.6122254213094073, 0.15213177946772163, 0.34970675386542305, 0.31922514621648773, 0.0625, 0.15667755317743742, 0.0684600667447041]",2.875,3.3306691002418516e-16,True,True
1.0,0.0625,16.0,0.9375,0,7,12,"[0.5611828789628575, 1.0, 0.10468196850825613, 0.6122254213094073, 0.15213177946772163, 0.34970675386542305, 0.31922514621648773, 0.0625, 0.15667755317743742, 0.0684600667447041]",3.8125,5.551115128295662e-16,True,True
1.0,0.0625,16.0,0.9375,1,1,12,"[0.6943868713015391, 0.4583982632462348, 0.44804753696945165, 0.0625, 0.11203525704928433, 0.19239743512471558, 0.7035868595814939, 0.1060221242528231, 1.0, 0.7311708955352046]",1.0,0.7311708955352049,True,True
1.0,0.0625,16.0,0.9375,1,3,12,"[0.6943868713015391, 0.4583982632462348, 0.44804753696945165, 0.0625, 0.11203525704928433, 0.19239743512471558, 0.7035868595814939, 0.1060221242528231, 1.0, 0.7311708955352046]",1.9375,0.8174542683363752,True,True
1.0,0.0625,16.0,0.9375,1,5,12,"[0.6943868713015391, 0.4583982632462348, 0.44804753696945165, 0.0625, 0.11203525704928433, 0.19239743512471558, 0.7035868595814939, 0.1060221242528231, 1.0, 0.7311708955352046]",2.875,0.8924309311676869,True,True
1.0,0.0625,16.0,0.9375,1,7,12,"[0.6943868713015391, 0.4583982632462348, 0.44804753696945165, 0.0625, 0.11203525704928433, 0.19239743512471558, 0.7035868595814939, 0.1060221242528231, 1.0, 0.7311708955352046]",3.8125,0.9245637866668204,True,True
1.0,0.0625,16.0,0.9375,2,1,12,"[0.4534096779898394, 0.18651613967764352, 1.0, 0.5231127523336301, 0.2001726078167981, 0.0625, 0.8658777777809873, 0.15864761341638178, 0.4207045298326577, 0.14956171889345782]",1.0,0.5231127523336304,True,True
1.0,0.0625,16.0,0.9375,2,3,12,"[0.4534096779898394, 0.18651613967764352, 1.0, 0.5231127523336301, 0.2001726078167981, 0.0625, 0.8658777777809873, 0.15864761341638178, 0.4207045298326577, 0.14956171889345782]",1.9375,0.31294932565905503,True,True
1.0,0.0625,16.0,0.9375,2,5,12,"[0.4534096779898394, 0.18651613967764352, 1.0, 0.5231127523336301, 0.2001726078167981, 0.0625, 0.8658777777809873, 0.15864761341638178, 0.4207045298326577, 0.14956171889345782]",2.875,8.326672899238645e-17,True,True
1.0,0.0625,16.0,0.9375,2,7,12,"[0.4534096779898394, 0.18651613967764352, 1.0, 0.5231127523336301, 0.2001726078167981, 0.0625, 0.8658777777809873, 0.15864761341638178, 0.4207045298326577, 0.14956171889345782]",3.8125,8.326672692443492e-17,True,True
1.0,0.0625,16.0,0.9375,3,1,12,"[0.0625, 0.5871852951420475, 1.0, 0.5205915169116959, 0.09958030740083705, 0.16711924061106848, 0.1705011585989808, 0.07032136941883121, 0.4794582443776781, 0.29800876494300915]",1.0,0.5871852951420476,True,True
1.0,0.0625,16.0,0.9375,3,3,12,"[0.0625, 0.5871852951420475, 1.0, 0.5205915169116959, 0.09958030740083705, 0.16711924061106848, 0.1705011585989808, 0.07032136941883121, 0.4794582443776781, 0.29800876494300915]",1.9375,0.508228431714016,True,True
1.0,0.0625,16.0,0.9375,3,5,12,"[0.0625, 0.5871852951420475, 1.0, 0.5205915169116959, 0.09958030740083705, 0.16711924061106848, 0.1705011585989808, 0.07032136941883121, 0.4794582443776781, 0.29800876494300915]",2.875,9.020562183646852e-17,True,True
1.0,0.0625,16.0,0.9375,3,7,12,"[0.0625, 0.5871852951420475, 1.0, 0.5205915169116959, 0.09958030740083705, 0.16711924061106848, 0.1705011585989808, 0.07032136941883121, 0.4794582443776781, 0.29800876494300915]",3.8125,9.02056228058208e-17,True,True
2.0,0.5,4.0,1.5,0,1,12,"[1.4982428093775153, 2.0, 0.647091859037822, 1.5648967011396084, 0.7800814815587449, 1.1827201763146227, 1.130000258790214, 0.5, 0.7916503096126153, 0.5232974937631714]",2.0,1.4982428093775155,True,True
2.0,0.5,4.0,1.5,0,3,12,"[1.4982428093775153, 2.0, 0.647091859037822, 1.5648967011396084, 0.7800814815587449, 1.1827201763146227, 1.130000258790214, 0.5, 0.7916503096126153, 0.5232974937631714]",3.5,2.2204460616580223e-16,True,True
2.0,0.5,4.0,1.5,0,5,12,"[1.4982428093775153, 2.0, 0.647091859037822, 1.5648967011396084, 0.7800814815587449, 1.1827201763146227, 1.130000258790214, 0.5, 0.7916503096126153, 0.5232974937631714]",5.0,4.440892102636529e-16,True,True
2.0,0.5,4.0,1.5,0,7,12,"[1.4982428093775153, 2.0, 0.647091859037822, 1.5648967011396084, 0.7800814815587449, 1.1827201763146227, 1.130000258790214, 0.5, 0.7916503096126153, 0.5232974937631714]",6.5,5.551115128295662e-16,True,True
2.0,0.5,4.0,1.5,1,1,12,"[1.6665975774631847, 1.3541023052136567, 1.338727062502961, 0.5, 0.669433363522567, 0.8772626405466394, 1.6776016923948234, 0.6512207744008881, 2.0, 1.7101706295398769]",2.0,1.7101706295398762,True,True
2.0,0.5,4.0,1.5,1,3,12,"[1.6665975774631847, 1.3541023052136567, 1.338727062502961, 0.5, 0.669433363522567, 0.8772626405466394, 1.6776016923948234, 0.6512207744008881, 2.0, 1.7101706295398769]",3.5,1.6981450676268308,True,True
2.0,0.5,4.0,1.5,1,5,12,"[1.6665975774631847, 1.3541023052136567, 1.338727062502961, 0.5, 0.669433363522567, 0.8772626405466394, 1.6776016923948234, 0.6512207744008881, 2.0, 1.7101706295398769]",5.0,1.766166029147741,True,True
