distribution,forest_seed,trees,point_index,value,theory,empirical,squared_error,hoeffding_epsilon_alpha_0_05
uniform,4,3000,17,0.166335379935997,8.387831022166408,8.330333333333334,0.003305984221144982,2.4795427851769825
uniform,4,3000,18,0.169578587672071,8.877115249175407,8.834333333333333,0.001830292323118295,2.4795427851769825
uniform,4,3000,19,0.17283499917045753,8.485491246297714,8.461666666666666,0.0005676105945961633,2.4795427851769825
uniform,4,3000,20,0.18868201036603915,8.677349655588113,8.613333333333333,0.004098089515027818,2.4795427851769825
uniform,4,3000,21,0.1901782693267624,8.721660392979423,8.653333333333334,0.0046685870798802015,2.4795427851769825
uniform,4,3000,22,0.2027373909620227,8.850305535486367,8.79,0.0036367576102975595,2.4795427851769825
uniform,4,3000,23,0.20611029048665852,9.805571699742462,9.730333333333334,0.005660811779914144,2.4795427851769825
uniform,4,3000,24,0.20682279957572935,9.712265632361571,9.631666666666666,0.00649619327108856,2.4795427851769825
uniform,4,3000,25,0.2144089237502267,8.956637302365872,8.896666666666667,0.003596477146166777,2.4795427851769825
uniform,4,3000,26,0.21920276915414105,9.814092420111592,9.751666666666667,0.003896974693166602,2.4795427851769825
uniform,4,3000,27,0.21992580447506183,9.809638433383828,9.729,0.006502556938598197,2.4795427851769825
uniform,4,3000,28,0.22438695314161938,9.13507290271983,9.052,0.0069011071662984915,2.4795427851769825
uniform,4,3000,29,0.22613899278614913,8.732288099470722,8.645,0.007619212309210721,2.4795427851769825
uniform,4,3000,30,0.2593390548657709,8.037049043317385,8.004,0.0010922392641944127,2.4795427851769825
uniform,4,3000,31,0.2649400076209091,8.504542247546365,8.476333333333333,0.0007957428410781837,2.4795427851769825
uniform,4,3000,32,0.27376537193861916,9.498835822214739,9.461666666666666,0.00138154612415682,2.4795427851769825
uniform,4,3000,33,0.27503932476009674,9.919728035460745,9.888666666666667,0.0009648086313616779,2.4795427851769825
uniform,4,3000,34,0.27644240244050555,9.400531077390559,9.385,0.000241214364911534,2.4795427851769825
uniform,4,3000,35,0.28766494786745844,8.222030215156835,8.238666666666667,0.0002767715188390009,2.4795427851769825
uniform,4,3000,36,0.30140917051296534,8.811562023669435,8.83,0.000339958971166487,2.4795427851769825
uniform,4,3000,37,0.30455369171988533,9.481057810393748,9.503666666666666,0.0005111603819694374,2.4795427851769825
uniform,4,3000,38,0.3057268404193929,9.231293015453447,9.241333333333333,0.00010080798312915886,2.4795427851769825
uniform,4,3000,39,0.3191984068729641,7.666641636491996,7.678333333333334,0.00013669577502973935,2.4795427851769825
uniform,4,3000,40,0.34540757008228773,7.29336134169562,7.315,0.0004682315332137207,2.4795427851769825
uniform,4,3000,41,0.36863671456369174,7.820850112039752,7.823,4.622018241621972e-06,2.4795427851769825
uniform,4,3000,42,0.3768270243438684,7.862755159039732,7.833,0.0008853694894797598,2.4795427851769825
uniform,4,3000,43,0.3973899704902567,7.440711651787301,7.370333333333333,0.00495310770840812,2.4795427851769825
uniform,4,3000,44,0.41889652039352654,8.161866810949489,8.131,0.0009527600181914638,2.4795427851769825
uniform,4,3000,45,0.42168598548526093,8.193944485027131,8.178666666666667,0.00023341173385535945,2.4795427851769825
uniform,4,3000,46,0.43612496060343353,7.105039264653919,7.057666666666667,0.0022441630400617833,2.4795427851769825
uniform,4,3000,47,0.4907593379136015,7.9900059568556285,7.988,4.023862906641371e-06,2.4795427851769825
uniform,4,3000,48,0.49305790838246155,8.176750839630277,8.169,6.007551497425884e-05,2.4795427851769825
uniform,4,3000,49,0.5059717295112173,8.081738001127519,8.068666666666667,0.00017085978458745594,2.4795427851769825
uniform,4,3000,50,0.5160054044178892,8.247651931574296,8.258333333333333,0.00011409234353795116,2.4795427851769825
uniform,4,3000,51,0.5262646083592845,7.977456347624656,7.972666666666667,2.2941043679324934e-05,2.4795427851769825
uniform,4,3000,52,0.5479668692584994,8.019257641958694,8.033,0.00018885240453543766,2.4795427851769825
uniform,4,3000,53,0.5588674268295427,8.772338272839733,8.766333333333334,3.605929847550905e-05,2.4795427851769825
uniform,4,3000,54,0.5636984498068287,9.15421871320393,9.144666666666666,9.124159305005808e-05,2.4795427851769825
uniform,4,3000,55,0.5679176669714794,9.188778188707722,9.188333333333333,1.9789630412355517e-07,2.4795427851769825
uniform,4,3000,56,0.5707420095287733,8.656070453523178,8.670666666666667,0.0002130494381301779,2.4795427851769825
uniform,4,3000,57,0.6024771542784757,8.491805165270746,8.487666666666666,1.7127170695972098e-05,2.4795427851769825
uniform,4,3000,58,0.6034851135426197,8.554876638709699,8.547333333333333,5.690145600111295e-05,2.4795427851769825
uniform,4,3000,59,0.6163128254441279,8.510140532679985,8.548666666666668,0.0014842629999597934,2.4795427851769825
uniform,4,3000,60,0.619285141111707,8.431852535594519,8.483333333333333,0.0026502725358246173,2.4795427851769825
uniform,4,3000,61,0.6389328671045996,7.518495681080003,7.550666666666666,0.0010349723136173202,2.4795427851769825
uniform,4,3000,62,0.6630144648630054,8.281195784640342,8.276333333333334,2.3643432713031558e-05,2.4795427851769825
uniform,4,3000,63,0.6690371333934167,9.805071463825834,9.792666666666667,0.0001538789925600827,2.4795427851769825
uniform,4,3000,64,0.6693000333432069,9.821822331772205,9.810333333333332,0.0001319970851284229,2.4795427851769825
uniform,4,3000,65,0.6749704440586226,9.668350750971976,9.644333333333334,0.0005768363500289765,2.4795427851769825
uniform,4,3000,66,0.6765259549662843,9.893797583148661,9.848666666666666,0.002036799622504775,2.4795427851769825
uniform,4,3000,67,0.6786256487113331,9.24013174292104,9.19,0.0025131916483013056,2.4795427851769825
uniform,4,3000,68,0.6888607814390348,7.74007049312846,7.693,0.0022156313233564428,2.4795427851769825
uniform,4,3000,69,0.7230989504725206,8.36640403094709,8.33,0.0013252534691966455,2.4795427851769825
uniform,4,3000,70,0.7258071852104586,8.704421092632163,8.689,0.00023781009796975753,2.4795427851769825
uniform,4,3000,71,0.7326426716385113,8.485401129191711,8.484,1.9631630118649793e-06,2.4795427851769825
uniform,4,3000,72,0.7421324624519763,8.734983821386326,8.727333333333334,5.852996744896924e-05,2.4795427851769825
uniform,4,3000,73,0.7468511551751316,8.828474646990767,8.789,0.001558247755045668,2.4795427851769825
uniform,4,3000,74,0.7532123109047943,8.306966980142478,8.267,0.001597359501709303,2.4795427851769825
uniform,4,3000,75,0.7675301576223436,7.877705597213648,7.887,8.638592315493888e-05,2.4795427851769825
uniform,4,3000,76,0.7736345859499347,7.525852294645091,7.5136666666666665,0.0001484895292285616,2.4795427851769825
uniform,4,3000,77,0.8160333917416788,6.959760424786895,6.969666666666667,9.813362818055228e-05,2.4795427851769825
uniform,4,3000,78,0.827111515118225,7.1667362750160315,7.160333333333333,4.099766219203795e-05,2.4795427851769825
uniform,4,3000,79,0.847686801314312,6.96784903777532,6.985,0.0002941555052324133,2.4795427851769825
uniform,4,3000,80,0.869435932012613,8.461949892519598,8.466333333333333,1.9214553367514703e-05,2.4795427851769825
uniform,4,3000,81,0.8715455959727187,9.232835457622851,9.222333333333333,0.00011029461459248442,2.4795427851769825
uniform,4,3000,82,0.8731837551913438,9.11771552801752,9.119333333333334,2.617294039874644e-06,2.4795427851769825
uniform,4,3000,83,0.878097718837899,9.576273318176924,9.546333333333333,0.0008964026924344225,2.4795427851769825
uniform,4,3000,84,0.8787660802520592,9.719030203385426,9.690333333333333,0.000823510350786692,2.4795427851769825
uniform,4,3000,85,0.8807253785767637,8.861769264492333,8.845333333333333,0.00027013983306339054,2.4795427851769825
uniform,4,3000,86,0.8884750367796362,7.575669891274749,7.580333333333333,2.1747691833772657e-05,2.4795427851769825
uniform,4,3000,87,0.9095386876683851,7.624419509351153,7.681666666666667,0.003277237020707182,2.4795427851769825
uniform,4,3000,88,0.9152072991632635,9.08370610493246,9.164333333333333,0.006500749959606559,2.4795427851769825
uniform,4,3000,89,0.916039795011558,9.42533563345772,9.495333333333333,0.004899677987876314,2.4795427851769825
uniform,4,3000,90,0.9173185265785717,8.837589341281598,8.897666666666666,0.003609285025423328,2.4795427851769825
uniform,4,3000,91,0.9248296392298053,8.580917196687832,8.626333333333333,0.0020626254678028626,2.4795427851769825
uniform,4,3000,92,0.9261609891009103,8.682366288710753,8.739,0.0032073772543938575,2.4795427851769825
uniform,4,3000,93,0.9294453831237451,7.737628528907932,7.803,0.004273429232741123,2.4795427851769825
uniform,4,3000,94,0.9482721191184535,6.295935984302057,6.310333333333333,0.00020728365912839954,2.4795427851769825
uniform,4,3000,95,0.9690564723067646,6.397573664707197,6.451666666666667,0.002926052860987211,2.4795427851769825
uniform,4,3000,96,0.9768832816213957,7.023535524549276,7.084666666666666,0.003737016536576576,2.4795427851769825
uniform,4,3000,97,0.9802285574883646,7.042911122753019,7.077333333333334,0.0011848885812355595,2.4795427851769825
uniform,4,3000,98,0.9860310550077437,6.428889058472664,6.431666666666667,7.715107279391193e-06,2.4795427851769825
uniform,4,3000,99,0.9921066976509181,5.45570958946128,5.463,5.3150085823075335e-05,2.4795427851769825
uniform,4,10000,0,0.013235310869540884,5.89483360223657,5.9141,0.00037119408277870813,1.3581015157406195
uniform,4,10000,1,0.013578217889658961,5.9398928241550655,5.9565,0.00027579828954458097,1.3581015157406195
uniform,4,10000,2,0.02596689266871821,6.143518202620513,6.1774,0.0011479761936646076,1.3581015157406195
uniform,4,10000,3,0.03361307590456397,7.311023410840539,7.345,0.0011544086109107877,1.3581015157406195
uniform,4,10000,4,0.033755497377304544,7.302465504286522,7.3365,0.0011583468984707787,1.3581015157406195
uniform,4,10000,5,0.05072579595117743,6.630721472850821,6.6556,0.0006189411131124221,1.3581015157406195
uniform,4,10000,6,0.06078191559097468,7.765436067942099,7.776,0.00011159666052393823,1.3581015157406195
uniform,4,10000,7,0.06127129087034777,7.753117993232909,7.758,2.3833990073923904e-05,1.3581015157406195
uniform,4,10000,8,0.07652765103908488,6.853153178538847,6.8529,6.409937253252696e-08,1.3581015157406195
uniform,4,10000,9,0.09271382048425225,7.777685461920404,7.7648,0.00016603512890218057,1.3581015157406195
uniform,4,10000,10,0.09524400822652956,7.847294680797592,7.8427,2.1111091631765342e-05,1.3581015157406195
uniform,4,10000,11,0.10751312154870207,7.174736421297694,7.1757,9.284839155379513e-07,1.3581015157406195
uniform,4,10000,12,0.12722125035421994,8.198485927396902,8.1916,4.741599611541737e-05,1.3581015157406195
uniform,4,10000,13,0.12799776856522116,8.233651046182182,8.2272,4.16159968446429e-05,1.3581015157406195
uniform,4,10000,14,0.1413149297995182,8.58426220759424,8.5789,2.8753270283709633e-05,1.3581015157406195
uniform,4,10000,15,0.1431390570813298,8.827317240420054,8.821,3.990752652477237e-05,1.3581015157406195
uniform,4,10000,16,0.14719403931970454,8.147723506454192,8.1475,4.995513506488585e-08,1.3581015157406195
uniform,4,10000,17,0.166335379935997,8.387831022166408,8.3666,0.00045075630223049076,1.3581015157406195
uniform,4,10000,18,0.169578587672071,8.877115249175407,8.8607,0.0002694604054907235,1.3581015157406195
uniform,4,10000,19,0.17283499917045753,8.485491246297714,8.4732,0.00015107473555106942,1.3581015157406195
uniform,4,10000,20,0.18868201036603915,8.677349655588113,8.6348,0.0018104731906670236,1.3581015157406195
uniform,4,10000,21,0.1901782693267624,8.721660392979423,8.6788,0.001837013286350526,1.3581015157406195
uniform,4,10000,22,0.2027373909620227,8.850305535486367,8.8184,0.0010179631946717876,1.3581015157406195
uniform,4,10000,23,0.20611029048665852,9.805571699742462,9.766,0.0015659194205075492,1.3581015157406195
uniform,4,10000,24,0.20682279957572935,9.712265632361571,9.6795,0.0010735866640536023,1.3581015157406195
uniform,4,10000,25,0.2144089237502267,8.956637302365872,8.9185,0.0014544538317459279,1.3581015157406195
uniform,4,10000,26,0.21920276915414105,9.814092420111592,9.7761,0.0014434239859357498,1.3581015157406195
uniform,4,10000,27,0.21992580447506183,9.809638433383828,9.7601,0.0024540563821240104,1.3581015157406195
uniform,4,10000,28,0.22438695314161938,9.13507290271983,9.0825,0.0027639101003888084,1.3581015157406195
uniform,4,10000,29,0.22613899278614913,8.732288099470722,8.6741,0.0033858549200147165,1.3581015157406195
uniform,4,10000,30,0.2593390548657709,8.037049043317385,7.9902,0.0021948328597542303,1.3581015157406195
uniform,4,10000,31,0.2649400076209091,8.504542247546365,8.4417,0.003949148076678454,1.3581015157406195
uniform,4,10000,32,0.27376537193861916,9.498835822214739,9.4289,0.004891019228851463,1.3581015157406195
uniform,4,10000,33,0.27503932476009674,9.919728035460745,9.8548,0.0042156497887918315,1.3581015157406195
uniform,4,10000,34,0.27644240244050555,9.400531077390559,9.3533,0.0022307746714728778,1.3581015157406195
uniform,4,10000,35,0.28766494786745844,8.222030215156835,8.215,4.9423925151390945e-05,1.3581015157406195
uniform,4,10000,36,0.30140917051296534,8.811562023669435,8.8116,1.442201683225449e-09,1.3581015157406195
uniform,4,10000,37,0.30455369171988533,9.481057810393748,9.4771,1.5664263112862214e-05,1.3581015157406195
uniform,4,10000,38,0.3057268404193929,9.231293015453447,9.2205,0.00011648918257836534,1.3581015157406195
