n1,n0,kappa,delta,seed,large_gap_position,separation_multiplier,predicted_scale,separation,anomaly_gap_min,anomaly_gap_max,normal_gap_min,normal_gap_max,assumption_4_2,n1_over_n0,anomaly_witness_index,anomaly_witness_depth,normal_witness_index,normal_witness_depth,failure_margin,anomaly_limit_depth,normal_limit_depth,infinite_failure_margin
33,1089,108900.0,108899.0,0,0,1000.0,118592100.0,118592100000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,16,8.698821191684887,33,2.0099330202092105,-6.688888171475677,8.698820264381137,2.009932101675008,-6.688888162706129
33,1089,108900.0,108899.0,1,15,1.0,118592100.0,118592100.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,24,7.436705071124479,33,2.0108497940281413,-5.425855277096337,7.435778550031481,2.009932101675008,-5.425846448356473
33,1089,108900.0,108899.0,1,15,10.0,118592100.0,1185921000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,24,7.43587127872072,33,2.010023946745693,-5.425847331975027,7.435778550031481,2.009932101675008,-5.425846448356473
33,1089,108900.0,108899.0,1,15,1000.0,118592100.0,118592100000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,24,7.435779477402689,33,2.0099330202092105,-5.425846457193479,7.435778550031481,2.009932101675008,-5.425846448356473
33,1089,108900.0,108899.0,2,16,1.0,118592100.0,118592100.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,8,7.435786664384728,33,2.0108497940281342,-5.424936870356594,7.435778550031481,2.009932101675008,-5.425846448356473
33,1089,108900.0,108899.0,2,16,10.0,118592100.0,1185921000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,8,7.435779438627561,33,2.010023946745693,-5.425755491881868,7.435778550031481,2.009932101675008,-5.425846448356473
33,1089,108900.0,108899.0,2,16,1000.0,118592100.0,118592100000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,8,7.435778559002551,33,2.0099330202092105,-5.42584553879334,7.435778550031481,2.009932101675008,-5.425846448356473
33,1089,108900.0,108899.0,3,31,1.0,118592100.0,118592100.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,16,8.698828446131097,33,2.0108497940280277,-6.6879786521030695,8.698820264381137,2.009932101675008,-6.688888162706129
33,1089,108900.0,108899.0,3,31,10.0,118592100.0,1185921000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,16,8.698821159722417,33,2.010023946745693,-6.688797212976724,8.698820264381137,2.009932101675008,-6.688888162706129
33,1089,108900.0,108899.0,3,31,1000.0,118592100.0,118592100000.0,1.0,108900.0,1.0,108900.0,True,0.030303030303030304,16,8.698820273419667,33,2.0099330202092105,-6.688887253210456,8.698820264381137,2.009932101675008,-6.688888162706129
65,4225,422500.0,422499.0,0,0,1.0,1785062500.0,1785062500.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,32,10.085906001108553,65,2.0101822979391923,-8.075723703169361,10.085667023475146,2.009945632271319,-8.075721391203828
65,4225,422500.0,422499.0,0,0,10.0,1785062500.0,17850625000.0,1.0,422500.0,1.0,422500.0,True,0.015384615384615385,32,10.085690926330035,65,2.0099693038793855,-8.075721622450649,10.085667023475146,2.009945632271319,-8.075721391203828
